X;PMPT;PNBDT;PTDIT3
Huaraz;1815;22,8;62.534
Cochabamba;349;61,0;2.023
Colcabamba;1295;32,9;765
Huanchay;525;58,3;2.364
Independencia;1809;19,8;71.285
Jangas;1193;26,0;4.875
La Libertad;748;70,4;1.203
Olleros;1092;39,4;2.339
Pampas Grande;1124;55,3;1.232
Pariacoto;845;35,1;4.674
Pira;148;45,5;3.822
Tarica;1189;37,2;5.773
Aija;1404;27,7;1.932
Coris;763;69,3;2.231
Huacllan;916;45,4;605
La Merced;709;38,3;2.280
Succha;901;57,4;865
Llamellín;983;63,3;3.693
Aczo;308;25,5;2.248
Chaccho;783;52,1;1.787
Chingas;546;45,0;1.989
Mirgas;519;75,2;5.358
San Juan De Rontoy;201;37,8;1.647
Chacas;1330;46,3;5.563
Acochaca;906;57,4;3.379
Chiquián;1626;36,6;3.802
Abelardo Pardo Lezameta;1729;17,9;1.054
Antonio Raymondi;714;74,4;1.121
Aquia;1550;59,9;2.634
Cajacay;1346;47,3;1.644
Canis;1196;94,7;1.086
Colquioc;1730;34,4;3.790
Huallanca;1356;46,2;8.342
Huasta;1197;51,8;2.555
Huayllacayán;856;77,5;1.162
La Primavera;691;88,6;847
Mangas;1453;94,5;576
Pacllón;1454;65,4;1.688
San Miguel De Corpanqui;1551;58,1;1.114
Ticllos;789;69,5;1.183
Carhuaz;1057;35,8;15.087
Acopampa;1415;30,1;2.638
Amashca;1041;59,9;1.614
Anta;854;44,5;2.488
Ataquero;625;46,5;1.420
Marcará;978;34,6;9.209
Pariahuanca;876;35,9;1.596
San Miguel De Aco;925;35,0;2.722
Shilla;1014;40,8;3.330
Tinco;1230;37,8;3.188
Yungar;1019;37,5;3.372
San Luis;725;57,8;12.560
San Nicolas;628;43,4;3.820
Yauya;620;64,2;5.514
Casma;1599;28,8;32.028
Buena Vista Alta;1216;35,6;4.178
Comandante Noél;1173;46,4;2.072
Yaután;1018;31,2;8.240
Corongo;1303;39,4;1.596
Aco;1006;75,1;485
Bambas;765;47,9;533
Cusca;1031;70,8;2.927
La Pampa;1377;29,8;1.074
Yánac;756;75,1;725
Yupán;1075;31,4;943
Huari;1428;43,8;10.236
Anra;953;52,1;1.680
Cajay;732;58,7;2.757
Chavín De Huántar;936;67,6;9.279
Huacachi;1167;61,1;1.954
Huacchis;1285;29,6;2.091
Huachis;1007;43,9;3.606
Huántar;1122;39,1;3.063
Masín;991;53,1;1.783
Paucas;1179;58,2;1.928
Ponto;1051;58,6;3.413
Rahuapampa;1498;50,5;794
Rapayan;1499;41,5;1.801
San Marcos;1262;37,9;14.599
San Pedro De Chana;1145;45,7;2.801
Uco;1128;47,6;1.728
Huarmey;1668;34,6;23.824
Cochapeti;602;80,4;805
Culebras;1217;41,7;3.553
Huayán;694;47,0;1.081
Malvas;1060;60,0;969
Caraz;1278;32,3;25.753
Huallanca;1481;36,4;769
Huata;474;34,5;1.649
Huaylas;989;55,1;1.583
Mato;622;38,6;2.071
Pamparomás;120;45,1;9.099
Pueblo Libre;392;47,0;7.174
Santa Cruz;510;50,9;5.128
Santo Toribio;816;39,1;1.184
Yuracmarca;599;57,3;1.812
Piscobamba;1436;56,8;3.768
Casca;665;43,7;4.501
Eleazar Guzmán Barrón;243;57,3;1.380
Fidel Olivas Escudero;509;55,4;2.287
Llama;1024;84,0;1.301
Llumpa;603;50,0;6.295
Lucma;689;45,1;3.262
Musga;1246;85,1;1.054
Ocros;1298;51,5;1.122
Acas;1134;41,3;980
Cajamarquilla;1367;57,9;541
Carhuapampa;1135;38,1;817
Cochas;980;52,9;1.420
Congas;1069;85,2;1.241
Llipa;1368;63,5;1.474
San Cristóbal De Raján;1589;75,2;616
San Pedro;1457;68,7;1.847
Santiago De Chilcas;687;84,4;398
Cabana;1374;38,5;2.773
Bolognesi;1521;20,3;1.333
Conchucos;611;58,3;8.353
Huacaschuque;1522;21,3;610
Huandoval;1383;55,1;1.141
Lacabamba;1022;37,5;603
Llapo;1523;52,1;720
Pallasca;1046;40,7;2.517
Pampas;640;52,2;8.191
Santa Rosa;1524;25,0;1.092
Tauca;1026;21,9;3.220
Pomabamba;1021;40,4;16.074
Huayllán;702;29,8;3.706
Parobamba;360;49,0;7.024
Quinuabamba;337;64,1;2.458
Recuay;1435;31,6;4.649
Cátac;1174;38,3;4.066
Cotaparaco;1088;61,8;642
Huayllapampa;521;79,7;1.275
Llacllin;381;85,1;1.713
Marca;1681;61,6;1.009
Pampas Chico;1290;42,4;1.939
Pararín;53;95,9;1.355
Tapacocha;797;56,6;484
Ticapampa;1749;27,1;2.327
Chimbote;1115;14,6;217.394
Chimbote;1468;14,6;217.394
Chimbote;1803;14,6;217.394
Cáceres Del Perú;1155;37,5;4.980
Coishco;1448;16,8;15.703
Macate;754;30,4;3.576
Moro;1317;39,7;7.617
Nepeña;1339;22,5;15.270
Samanco;1085;32,8;4.535
Santa;1314;16,5;20.041
Nuevo Chimbote;1284;21,8;141.809
Nuevo Chimbote;1667;21,8;141.809
Nuevo Chimbote;1890;21,8;141.809
Sihuas;1612;25,0;5.721
Acobamba;1066;21,6;2.155
Alfonso Ugarte;1352;59,6;813
Cashapampa;1137;33,9;2.948
Chingalpo;1071;13,2;1.092
Huayllabamba;778;39,1;4.098
Quiches;1190;35,3;2.920
Ragash;1353;54,3;2.700
San Juan;893;41,9;6.543
Sicsibamba;853;68,7;1.862
Yungay;1113;29,2;21.612
Cascapara;661;42,9;2.248
Mancos;1251;22,5;7.096
Matacoto;914;35,6;1.609
Quillo;464;44,9;13.456
Ranrahirca;796;26,5;2.762
Shupluy;537;39,4;2.397
Yanama;686;33,9;7.037
Alto Selva Alegre;1860;11,2;80.453
Cayma;1571;13,1;87.788
Cayma;1802;13,1;87.788
Cayma;1909;13,1;87.788
Cerro Colorado;1661;16,8;139.408
Cerro Colorado;1879;16,8;139.408
Jacobo Hunter;1755;12,8;48.147
La Joya;1619;41,1;28.781
Maríano Melgar;1828;12,7;52.985
Mollebaya;1335;48,7;1.751
Pocsi;1226;78,3;565
Quequeña;1542;54,2;1.344
San Juan De Tarucani;118;69,3;2.195
Santa Isabel De Siguas;1276;56,6;1.272
Uchumayo;1761;17,6;12.054
Yura;1616;30,2;22.710
Mariano Nicolás Valcárcel;1862;74,4;6.188
Ocoña;1587;34,9;4.798
Acari;1708;22,0;3.437
Bella Unión;1697;43,5;5.977
Chaparra;1830;41,0;4.985
Jaqui;1776;29,8;1.370
Yauca;1899;37,3;1.632
Ayo;1663;44,8;394
Choco;208;78,0;1.046
Machaguay;1149;28,7;774
Pampacolca;1350;36,7;2.849
