UBIGEO;DISTRITO;IP;IPE;IxNBI;IExNBI;Gini del gasto;PCI;PAP;PSH;PDE;PVN;PsTICS;PNAE;PPME;PFG;Tasa de analfabetismo;PSS;Desnutrición crónica;Tasa de mortalidad infantil;Porcentaje de15 a 29 años;PDE;PEO;PSP;PSM;PSC;PSS;PPI;PPD;DD
10101;Chachapoyas;12,3;1,4;16,1;3,7;0,3;3,5;11;19,2;8,2;9,5;3,1;0,7;27,9;38,5;3,5;28,2;9,1;19,5;18,4;2;54;10,8;11,9;14,4;62,9;25,1;94;548
10102;Asunción;51,3;15,7;83,7;19,9;0,4;83,7;73,8;84,9;11,6;16,3;22,7;0;66,9;78,2;12,6;25,6;12;19,5;29,2;3,3;70,4;83,2;3,2;1,1;12,6;54,8;3;0
10103;Balsas;42,6;15,4;51,5;17,2;0,4;4,8;51;71,2;51,4;36,1;20,3;3,5;74,4;80,9;13,9;31;25,5;21,2;33,9;9,8;50,6;78;3,2;4,6;14,2;45,1;2;0
10104;Cheto;60;23,7;33,7;6;0,3;30,8;9,7;17,8;11,4;1,3;8,4;0,4;73,8;84,2;6,8;31,7;19,7;19,5;32;1,7;50,9;85,2;4,3;0;10,4;41,6;1;0
10105;Chiliquín;74,7;36,4;68,5;26,7;0,3;44,1;84,9;82,2;42,3;8,6;15,4;3,3;84;90,4;12;14,2;26,9;20,5;31,8;0,7;55,4;94,5;0,3;1,7;3,4;49,5;1;0
10106;Chuquibamba;74,9;43,8;42,3;10,2;0,4;10,1;52,3;73,2;35,7;27,7;22,3;0,8;63,3;76,5;6,1;17,2;34,9;22,3;31,9;6,8;49,2;86,8;0,7;0,3;12,1;39,3;2;0
10107;Granada;31,7;5,9;39,8;8,7;0,3;30,6;5,5;68,3;4,6;5,1;22,8;2,3;63,3;79;10,7;31,3;27,8;21,1;16,3;2;72,3;91,5;0,9;0,4;7,1;45,5;2;0
10108;Huancas;49,3;12,5;33;2;0,3;0;5,7;39,4;1,4;10,2;21,9;0;72,5;87,3;17,2;28,7;s/n;20;39,3;2;62,4;74,4;6,8;2,3;16,5;53,1;6;0
10109;La Jalca;69,6;28,4;44,2;12,1;0,3;11,5;40;52,4;24,3;32,4;7,5;1,4;68,1;80,3;10,7;28,1;35,4;21,5;31,1;7,7;60,1;84,1;3;3,3;9,6;39,7;11;0
10110;Leimebamba;42,8;15,2;38,9;14,4;0,4;8,1;22,6;37,3;24,1;26,1;11,2;1,7;59,9;72,8;10,4;35,3;31;21;33,2;8,8;50,2;67,9;7,7;6,6;17,9;39,8;2;31
10111;Levanto;64,6;24,4;29,9;7,4;0,3;15;5,2;51,3;5,9;15,8;7,2;0;71,6;86,4;12,5;34,4;20,6;20,4;26,7;2,5;53,3;87,4;0,3;2,6;9,7;47,4;0;0
10112;Magdalena;59,9;20,6;18,8;5,5;0,3;6,3;98,9;17,8;19;13,9;7;0;57,3;70,6;8,6;10,7;20,3;20,6;21,6;0,6;49,3;74,2;8,4;3,7;13,7;43,2;4;0
10113;Mariscal Castilla;56,6;18,9;24,8;4,6;0,3;2,5;4;52,2;12,2;17,7;7,9;0;59;77,1;6,9;22,7;29,6;22,7;26;5,4;43,5;86,1;0,4;0,4;13,1;37,6;0;0
10114;Molinopampa;54,4;25,5;49,6;18,1;0,4;40,2;16,4;63,5;20,5;9,9;14,5;1,2;68,1;78,7;9,7;28,2;s/n;21,3;31,5;5,7;49;78,2;2,4;3,5;16;40,3;4;0
10115;Montevideo;31,7;10,1;14,5;0;0,3;0,2;4,4;19,3;5,1;8,8;3,9;0,8;42,7;59,1;4,9;25,6;8,5;21,1;28;1,5;54;66,9;10,6;4,9;17,6;40,7;1;0
10116;Olleros;31,7;2,6;86,8;15;0,3;83,3;27,7;76,6;23,7;6,6;9,8;4,9;66;71,7;8,7;44,6;27;21;8,9;0;71,3;90,6;3,9;0,6;5;64,6;0;0
10117;Quinjalca;55,9;19,3;73,6;36,4;0,3;62,3;99;93,7;10,2;9,4;11,8;0,8;80,1;88,8;11;19,2;30,3;20,8;13,4;9,3;76,2;97;0,6;0,4;2;53,1;1;18
10118;San Francisco de Daguas;31,7;7,7;19,4;0,8;0,3;12,2;37,6;39,6;7,6;2,3;14,7;2,3;70,4;80,3;9,9;15,7;12,4;21,5;40;0;59;68,2;15,3;0;16,5;50,7;1;0
10119;San Isidro de Maino;67,9;27,9;34,3;8,2;0,3;10,8;30,8;36,4;13,4;9,2;5,7;1,9;76,3;85,8;8,7;12,3;s/n;20,6;37,3;6,4;53,3;89,6;2,4;2,4;5,6;37,5;1;0
10120;Soloco;58,2;21,2;33,3;6,8;0,3;24,6;31;58,3;41,6;1,9;14,7;0,9;68;80,5;8,8;29,8;26,9;21;26,9;3,8;52,9;85,9;1,9;1,3;10,9;50,9;2;0
10121;Sonche;83,9;52,8;69,6;29,4;0,3;65,4;6;22,1;6,8;28;16,5;0;81,6;87,3;10,4;14,1;s/n;20;35,6;2,8;51,5;90,9;1,1;1,1;6,8;40,9;0;0
10201;Bagua;24,5;4,5;24,8;4,3;0,3;4,3;14;29,1;8,5;17,8;5,4;1,6;32;44;5,9;32,5;17,3;0;28;4;53,5;21,5;16,3;11,2;51,1;26,2;125;252
10202;Aramango;56,5;19,3;60,1;30,1;0,3;38,5;34,1;74,2;47,7;37,1;17,7;2,8;66,4;78,9;11,4;32,9;41,1;17,6;36,6;8,2;50,1;83,2;6;3,6;7,2;43,5;14;14
10203;Copallín;44,1;11,2;46,5;13,9;0,3;22,7;66,6;66,4;27,9;26,8;11;1;59,5;71,3;12,2;26,2;29;16,3;35,1;6,1;50,7;87,7;2,2;2,8;7,3;47,6;4;0
10204;El Parco;48,4;12,2;47,4;17,7;0,3;27,9;50,2;81,4;28;30,3;7,5;1,6;56,7;70,3;11,3;24;23,8;16,3;35,6;5;48,6;88,4;0,7;0,7;10,1;43,1;1;0
10205;Imaza;79,8;48,9;95,1;53,9;0,4;90,7;98,4;99;79,1;49;19;5,7;61,6;78,4;14,3;18,6;59,1;18,6;38,1;7,9;50,1;85,7;1;3,1;10,2;44;9;59
10206;La Peca;63,2;21,8;39,1;11,3;0,3;12,7;21;96,8;35;29,9;10,1;1,3;56,4;69,9;12,8;33,3;24,4;16,1;36,9;6,2;51,8;82,2;2,1;5,5;10,1;36,4;17;0
10301;Jumbilla;21,2;5,1;27,3;13,2;0,4;20,9;18,3;21;18,3;10;5,7;1,7;48,9;61,9;5,1;38,7;16,4;20,3;24,3;3,3;58,5;48,8;7,7;11,8;31,7;38,4;12;42
10302;Chisquilla;58,6;22,6;69,6;18,4;0,3;54;11,7;57,5;10,3;18;13,6;0;64,5;81;2,7;24,1;48,8;20,7;28,6;2,7;58,5;76,8;5,8;2,6;14,8;45,7;2;0
10303;Churuja;21,2;1,9;86,8;14,8;0,4;14,1;12,5;99,2;5;9,6;4,7;0;48,6;65,3;6,4;21,1;17;20;17,8;1,9;56,8;37,4;7,7;13,5;41,3;32,6;0;0
10304;Corosha;64,1;24,6;74,8;25;0,3;67,4;15,8;74,3;14,2;28;3,9;0,5;72,5;84,4;8,7;41,7;35,5;21,7;38,1;3,7;54,9;81,5;6,4;2,1;10;43,8;3;0
10305;Cuispes;49,8;12,8;48,4;23,1;0,3;30,5;16;47,2;9,5;25;10,6;1,5;72,5;85,8;6,8;47;30,8;22,1;29,2;4,3;60,2;93;0,7;0,7;5,6;52,6;3;0
10306;Florida;33,5;6,3;51,9;16,6;0,3;42,5;25,7;53,4;21,2;18,1;5,5;1,4;61;75,1;9,6;65,2;32,1;21,7;33,8;4,8;51,7;67,5;7;10,3;15,3;45,1;8;25
10307;Jazán;45,8;13,7;20,6;3,2;0,3;1,7;9,7;22,3;3,7;8,8;5,2;0,5;49,3;62,6;5,6;46,9;19,4;21,5;25,9;3,7;53,4;43,8;15;15,6;25,6;39,2;24;99
10308;Recta;56,1;15,6;51,1;9,2;0,3;35,2;3,4;68,6;2,9;16,5;9,1;0;75,2;88,3;5;9,7;s/n;21,8;27,8;0;61,3;92;1,1;0;6,9;55,6;0;0
10309;San Carlos;27,2;4,7;42,3;16;0,3;34,9;100;38,5;12;16,6;8,6;2,2;66,3;77,9;8,6;52,6;33,1;21,1;25,7;0;52,2;90,8;2,1;0,7;6,4;48,5;0;0
10310;Shipasbamba;47,9;13,4;54,7;25;0,3;44;32;63,8;50,3;18,3;5,1;1,2;70,6;79;9,7;42,8;43,1;21,4;35,4;10,4;48,9;92,1;2,4;1,4;4;45,7;0;0
10311;Valera;40,3;8,5;48,2;7,7;0,3;5;80,8;83,3;7,4;11,5;5,6;2,4;73,8;83,4;7,7;35,6;25;20,8;33,6;1,2;49,2;79,5;2;4,8;13,8;42,7;0;0
10312;Yambrasbamba;45,6;10,9;68;20,5;0,3;58,7;96,8;77,9;30,1;17;12;1,6;66,7;81,1;12,2;57;39,3;21,4;38,3;8,9;47,4;82,1;7,4;3,1;7,4;43,9;9;32
10401;Nieva;68,8;34,9;94,2;57,2;0,4;90,8;67,4;96,2;81,9;46,9;20,4;4,7;63,5;81,1;13,9;23,6;56,4;28;38,4;12;49,3;81,8;5,5;2,3;10,4;42,9;12;81
10402;El Cenepa;88,1;60;98,8;69,5;0,3;97,7;54,3;99,4;94,3;64,6;20,8;9,2;69,6;83,2;17,4;38,6;50,1;28,2;44,9;13,5;39,1;91,1;1,5;0,3;7;32;3;0
10403;Río Santiago;69,1;31,4;96,6;75,7;0,4;54,4;87,7;99,8;87,3;76,3;18,6;4,5;57,1;79;11,8;23,6;61,3;29,4;37;7,5;45,5;90;2,2;2;5,8;41,4;1;0
10501;Lamud;31,7;5,6;21,2;3;0,3;0,5;7,4;34,6;10,9;9,4;8,5;0,8;51,4;63,6;14,7;17,8;19,8;24;22,7;8,5;45,7;45;7,9;3,9;43,2;24,6;4;36
10502;Camporredondo;43;11;26,2;5,9;0,4;1,3;12,2;52,1;24,3;16,7;16,7;5,3;58,7;71,7;12,7;72,3;31,3;23,8;39,6;8;50,8;89;1,5;2,1;7,4;43,5;13;47
10503;Cocabamba;75,2;35,5;51,3;20,4;0,3;11,2;83,9;95,4;77,1;34;19,3;2,6;85;93,1;10,6;19,7;37,3;24,4;41,1;16;52,6;96,5;0;0,1;3,4;45,3;4;6
10504;Colcamar;65;29,2;24;4,4;0,3;1,4;3,7;80,1;48,4;12,2;11;1,9;77,2;86,9;14,5;17,2;44,4;24,9;45,2;8,6;48,2;95,3;0,7;1;3,1;37,4;2;0
10505;Conila;65,8;35,1;38,2;13,7;0,4;8,4;5,8;61,4;20,4;15,3;14,8;4,6;75,4;85;21,1;31,6;18;24;40,8;10;49,1;91,2;0,6;2,9;5,2;45,5;2;0
10506;Inguilpata;51,1;16,6;26,9;2,1;0,3;14,9;95,3;46,3;20,8;7,7;13,7;1,6;65,4;77,7;11,8;14,3;35,6;23,2;22,9;2,1;48,9;87,1;8,6;1,1;3,2;40,5;0;0
10507;Longuita;77,6;39,7;29,4;3,6;0,3;4,4;19,7;65,7;6;22,4;9,7;1,2;69,5;81,6;10;13;21,9;24;32,9;3,8;47,2;89,3;1;3,8;5,8;41,2;1;0
10508;Lonya Chico;70,5;39,4;26,2;10,2;0,4;9,3;99,6;70,6;21,6;12,7;12;1,8;71,9;81,1;14;17,4;s/n;24,9;30,3;5,2;48;84,2;2,1;2,1;11,6;40,7;1;0
10509;Luya;38,3;10;20,4;2,7;0,4;0,1;6,4;49;9,3;6,9;7,9;3,6;56,5;67,7;12,9;21,5;29,4;23,9;33,3;8,6;50,6;58,1;5,9;9,2;26,7;32,3;7;13
10510;Luya Viejo;73;32,8;20,8;2,7;0,3;0;7,9;85,8;7,6;10,1;14,5;6,2;72,9;85,5;19,2;15,4;17,2;22,7;46,7;9,7;41,7;95,6;1,1;0;3,3;39,4;0;0
10511;María;58,7;22,6;56;21,9;0,4;5,5;51,1;75,2;19,9;17,2;7,8;34,5;83,3;93,4;23,7;11,2;22,8;25,7;30;13,6;66,8;81,1;1,8;2,9;14,3;52,3;2;0
10512;Ocalli;16,6;3,8;24,2;3,4;0,4;1,3;8,4;55,1;4,3;16,9;14,9;1,5;64,5;77,4;9,9;32;16,4;24,2;35;5,5;51,4;88,1;0,9;2,8;8,2;43,2;5;20
10513;Ocumal;49,1;16,9;43,5;11;0,4;3,3;26,8;99,6;10,6;29,1;17,4;6,2;75,6;80,4;11,5;20,3;29,7;25,4;30,7;10,5;48,7;92,5;2;0,4;5,1;37,6;3;23
10514;Pisuquia;86,3;54,7;39,4;9,9;0,3;3,6;96,2;91,1;61,6;24,9;20,8;2,7;70,8;85,3;14,2;13,3;41,2;25;27;15,9;64,2;94;0,8;1,2;4;36;1;19
10515;Providencia;69;29,4;40,4;7,9;0,3;2,9;17,6;67;6,6;32,5;14,4;3,5;68,8;77;13,7;22,9;36,2;24,9;29,9;8,4;54,4;88,9;0,2;0,2;10,7;32;3;0
10516;San Cristóbal;72,2;33;37,1;11,2;0,3;6,3;0,9;76,9;0,5;23,7;11;3,8;78,1;88,4;20,2;10,7;24,8;25,5;26,5;5;44,2;95,5;0,5;0,5;3,5;41,1;0;0
10517;San Francisco del Yeso;56,9;19,3;34,9;9,4;0,3;7,8;11,8;54,9;22,2;20,3;10,6;1,9;77,5;84,6;11,3;34,6;21,9;22,7;36,2;3,7;45,9;91,6;0,9;0,9;6,7;41,4;0;0
10518;San Jerónimo;81,7;46,6;36,1;14,8;0,3;15,7;59,5;80,3;53,6;19,1;12,2;3,1;82,2;89,2;15,1;15,9;43,7;23,8;43,8;8;49,8;95,9;0,7;0;3,4;47,3;0;0
10519;San Juan de Lopecancha;44,5;11,3;80,6;37,7;0,3;60,2;16,1;64,5;10,1;41,1;14,7;1,8;83,7;90,6;11,7;49,6;24,1;22,9;35,5;14,9;47;93,5;0;0,6;5,8;43,3;0;0
10520;Santa Catalina;84,9;50,4;52,8;23,7;0,3;27,3;7,7;97,3;78,8;16,5;16,7;5,1;84,2;90,6;24,4;11,8;32,4;25,4;35,7;22,9;45,6;96,7;0,2;0,8;2,3;42;3;0
10521;Santo Tomás;68,5;33,6;56,3;16,8;0,3;41,5;16,4;52,8;16,1;20;10,7;1,3;72,6;84;11,6;22,4;30,6;24,9;33,2;7,8;47,5;87,2;0,5;2;10,3;42,9;6;0
10522;Tingo;44,5;11,2;34,2;7,5;0,3;5,4;20,7;57;46,9;17,4;11,1;0;64,6;76,6;9,8;17,8;32,2;25,5;28,3;5,6;45,7;82,1;2,5;3,6;11,8;39,4;0;22
10523;Trita;51;16,4;16,6;2,9;0,3;1;3,9;57,6;5,9;5,8;12,6;3,5;65,8;78,7;12,3;22,7;31,5;23;34,6;7,4;45,1;90,1;0,8;1,3;7,9;41,5;0;0
10601;San Nicolás;22,2;3;17,8;3,5;0,3;3,4;17,9;16,4;2,6;9,2;4,2;0,7;44,5;56;4,8;33,2;12;13,8;25,3;1,8;59;32,9;10;16,9;40,1;37,5;11;49
10602;Chirimoto;47,7;12,3;72,7;37,4;0,3;56,8;99,6;91,9;59,4;17;13,1;1,9;77,5;89,3;5,4;48,7;20,7;15,3;38,6;6,7;58,6;88,3;1,9;3,5;6,3;41,8;10;0
10603;Cochamal;36;7,1;52,1;16,4;0,4;47,7;9,6;32,2;9,1;2,2;7,9;0;64,9;72,4;3,4;20,5;14,4;13,2;28;2,2;56,5;75,6;6;3,8;14,5;44,9;1;0
