RAZON SOCIAL;Base Imp.;Inafecto;IGV;Total;T/C
SUPERMERCADOS PERUANOS S.A                                                                          ;36.178,17;0,00;6.512,07;42.690,24;3,2450
SUPERMERCADOS PERUANOS S.A                                                                          ;20.966,95;0,00;3.774,05;24.741,00;3,2450
SUPERMERCADOS PERUANOS S.A                                                                          ;8.063,39;0,00;1.451,41;9.514,80;3,2450
SUPERMERCADOS PERUANOS S.A                                                                          ;239.760,00;0,00;43.156,80;282.916,80;3,2450
SUPERMERCADOS PERUANOS S.A                                                                          ;55.944,00;0,00;10.069,92;66.013,92;3,2080
SUPERMERCADOS PERUANOS S.A                                                                          ;30.476,44;0,00;5.485,76;35.962,20;3,2080
SUPERMERCADOS PERUANOS S.A                                                                          ;0,00;8.583,84;0,00;8.583,84;3,2080
SUPERMERCADOS PERUANOS S.A                                                                          ;0,00;14.130,00;0,00;14.130,00;3,2080
SUPERMERCADOS PERUANOS S.A                                                                          ;0,00;195.111,00;0,00;195.111,00;3,2080
SUPERMERCADOS PERUANOS S.A                                                                          ;6.809,65;0,00;1.225,74;8.035,39;3,2080
SUPERMERCADOS PERUANOS S.A                                                                          ;0,00;2.772,06;0,00;2.772,06;3,2080
SUPERMERCADOS PERUANOS S.A                                                                          ;2.015,18;0,00;362,73;2.377,91;10,2080
SUPERMERCADOS PERUANOS S.A                                                                          ;0,00;47.572,34;0,00;47.572,34;3,2080
SUPERMERCADOS PERUANOS S.A                                                                          ;5.994,00;0,00;1.078,92;7.072,92;3,2150
SUPERMERCADOS PERUANOS S.A                                                                          ;105.894,00;0,00;19.060,92;124.954,92;3,2150
SUPERMERCADOS PERUANOS S.A                                                                          ;55.315,68;0,00;9.956,82;65.272,50;3,2150
MAYORSA S.A                                                                                         ;2.818,80;0,00;507,38;3.326,18;3,2150
SUPERMERCADOS PERUANOS S.A                                                                          ;0,00;11.224,08;0,00;11.224,08;3,2150
SUPERMERCADOS PERUANOS S.A                                                                          ;0,00;78.044,40;0,00;78.044,40;3,2150
SUPERMERCADOS PERUANOS S.A                                                                          ;572,92;0,00;103,12;676,04;3,2150
SUPERMERCADOS PERUANOS S.A                                                                          ;0,00;2.310,30;0,00;2.310,30;3,2150
SUPERMERCADOS PERUANOS S.A                                                                          ;0,00;22.745,57;0,00;22.745,57;3,2150
SUPERMERCADOS PERUANOS S.A                                                                          ;2.055,44;0,00;369,98;2.425,42;3,2150
MAYORSA S.A                                                                                         ;3.874,18;0,00;697,35;4.571,53;3,2200
MAYORSA S.A                                                                                         ;0,00;4.237,38;0,00;4.237,38;3,2200
MAYORSA S.A                                                                                         ;2.208,95;0,00;397,61;2.606,56;3,2200
MAYORSA S.A                                                                                         ;0,00;5.229,71;0,00;5.229,71;3,2200
SUPERMERCADOS PERUANOS S.A                                                                          ;95.904,00;0,00;17.262,72;113.166,72;3,2200
ANULADO                                                                                             ;0,00;0,00;0,00;0,00;3,2180
ANULADO                                                                                             ;0,00;0,00;0,00;0,00;3,2180
SUPERMERCADOS PERUANOS S.A                                                                          ;0,00;348.294,96;0,00;348.294,96;3,2180
SUPERMERCADOS PERUANOS S.A                                                                          ;0,00;4.291,92;0,00;4.291,92;3,2180
SUPERMERCADOS PERUANOS S.A                                                                          ;0,00;1.734,36;0,00;1.734,36;3,2180
ANULADO                                                                                             ;0,00;0,00;0,00;0,00;3,2180
ANULADO                                                                                             ;0,00;0,00;0,00;0,00;3,2180
ANULADO                                                                                             ;0,00;0,00;0,00;0,00;3,2180
SUPERMERCADOS PERUANOS S.A                                                                          ;0,00;14.285,25;0,00;14.285,25;3,2180
SUPERMERCADOS PERUANOS S.A                                                                          ;1.719,89;0,00;309,58;2.029,47;3,2180
MAYORSA S.A                                                                                         ;0,00;44.154,45;0,00;44.154,45;3,2180
MAYORSA S.A                                                                                         ;0,00;4.289,52;0,00;4.289,52;3,2180
MAYORSA S.A                                                                                         ;924,96;0,00;166,49;1.091,45;3,2180
ANULADO                                                                                             ;0,00;0,00;0,00;0,00;3,2170
ANULADO                                                                                             ;0,00;0,00;0,00;0,00;3,2170
ANULADO                                                                                             ;0,00;0,00;0,00;0,00;3,2170
ANULADO                                                                                             ;0,00;0,00;0,00;0,00;3,2170
SUPERMERCADOS PERUANOS S.A                                                                          ;0,00;149.397,60;0,00;149.397,60;3,2180
SUPERMERCADOS PERUANOS S.A                                                                          ;0,00;2.826,00;0,00;2.826,00;3,2180
SUPERMERCADOS PERUANOS S.A                                                                          ;0,00;12.700,80;0,00;12.700,80;3,2180
SUPERMERCADOS PERUANOS S.A                                                                          ;0,00;21.963,87;0,00;21.963,87;3,2170
SUPERMERCADOS PERUANOS S.A                                                                          ;0,00;21.963,87;0,00;21.963,87;3,2180
SUPERMERCADOS PERUANOS S.A                                                                          ;0,00;3.634,26;0,00;3.634,26;3,2180
SUPERMERCADOS PERUANOS S.A                                                                          ;1.853,47;0,00;333,63;2.187,10;3,2180
SUPERMERCADOS PERUANOS S.A                                                                          ;4.990,94;0,00;898,37;5.889,31;3,2180
